model,response_models,context_id,amount,total,low,not_low,invalid,output_truncated,low_pct,not_low_pct,errors
gemini-3.5-flash-lite,gemini-3.5-flash-lite,fact_only,0,10,10,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,fact_only,78.13,30,24,6,0,0,80.0%,20.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,fact_only,97.66,30,7,23,0,0,23.3%,76.7%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,fact_only,117.19,10,1,9,0,0,10.0%,90.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,fact_only,156.25,10,0,10,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,fact_only,312.5,10,2,8,0,0,20.0%,80.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,fact_only,625,10,0,10,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,fact_only,1250,10,0,10,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,fact_only,2500,10,0,10,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,fact_only,5000,10,0,10,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,fact_only,10000,10,0,10,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,fact_only,20000,10,0,10,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,retrieved_5_gift_card,0,10,10,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,retrieved_5_gift_card,39.06,30,19,11,0,0,63.3%,36.7%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,retrieved_5_gift_card,58.59,30,0,30,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,retrieved_5_gift_card,78.13,10,0,10,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,retrieved_5_gift_card,156.25,10,0,10,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,retrieved_5_gift_card,312.5,10,0,10,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,retrieved_5_gift_card,625,10,0,10,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,retrieved_5_gift_card,1250,10,0,10,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,retrieved_5_gift_card,2500,10,0,10,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,retrieved_5_gift_card,5000,10,0,10,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,retrieved_5_gift_card,10000,10,0,10,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,retrieved_5_gift_card,20000,10,0,10,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,retrieved_100000_contract,0,10,10,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,retrieved_100000_contract,10000,10,10,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,retrieved_100000_contract,10312.5,10,9,1,0,0,90.0%,10.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,retrieved_100000_contract,10468.75,10,10,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,retrieved_100000_contract,10546.88,10,8,2,0,0,80.0%,20.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,retrieved_100000_contract,10585.94,30,25,5,0,0,83.3%,16.7%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,retrieved_100000_contract,10605.47,30,10,20,0,0,33.3%,66.7%,0
