model,response_models,condition,context_id,format_id,amount,threshold_usd,expected_label,total,low,not_low,invalid,error_count,error_rate,low_rate,source_run_dir
gemini-3.6-flash,gemini-3.6-flash,prompt_only,fact_only,prose_same_block,0,100,LOW,100,100,0,0,0,0,1,experiments/json-input-low/results/2026-08-02T18-32-02-384Z-publication-clean-control-gemini-36-flash-s100-json-input-low
gemini-3.6-flash,gemini-3.6-flash,prompt_only,fact_only,prose_same_block,5,100,LOW,100,100,0,0,0,0,1,experiments/json-input-low/results/2026-08-02T18-32-02-384Z-publication-clean-control-gemini-36-flash-s100-json-input-low
gemini-3.6-flash,gemini-3.6-flash,prompt_only,fact_only,prose_same_block,25,100,LOW,100,100,0,0,0,0,1,experiments/json-input-low/results/2026-08-02T18-32-02-384Z-publication-clean-control-gemini-36-flash-s100-json-input-low
gemini-3.6-flash,gemini-3.6-flash,prompt_only,fact_only,prose_same_block,49,100,LOW,100,100,0,0,0,0,1,experiments/json-input-low/results/2026-08-02T18-32-02-384Z-publication-clean-control-gemini-36-flash-s100-json-input-low
gemini-3.6-flash,gemini-3.6-flash,prompt_only,fact_only,prose_same_block,50,100,LOW,100,100,0,0,0,0,1,experiments/json-input-low/results/2026-08-02T18-32-02-384Z-publication-clean-control-gemini-36-flash-s100-json-input-low
gemini-3.6-flash,gemini-3.6-flash,prompt_only,fact_only,prose_same_block,51,100,LOW,100,1,99,0,99,0.99,0.01,experiments/json-input-low/results/2026-08-02T18-32-02-384Z-publication-clean-control-gemini-36-flash-s100-json-input-low
gemini-3.6-flash,gemini-3.6-flash,prompt_only,fact_only,prose_same_block,75,100,LOW,100,100,0,0,0,0,1,experiments/json-input-low/results/2026-08-02T18-32-02-384Z-publication-clean-control-gemini-36-flash-s100-json-input-low
gemini-3.6-flash,gemini-3.6-flash,prompt_only,fact_only,prose_same_block,100,100,LOW,100,93,7,0,7,0.07,0.93,experiments/json-input-low/results/2026-08-02T18-32-02-384Z-publication-clean-control-gemini-36-flash-s100-json-input-low
gemini-3.6-flash,gemini-3.6-flash,prompt_only,fact_only,prose_same_block,101,100,NOT_LOW,100,0,100,0,0,0,0,experiments/json-input-low/results/2026-08-02T18-32-02-384Z-publication-clean-control-gemini-36-flash-s100-json-input-low
gemini-3.6-flash,gemini-3.6-flash,prompt_only,fact_only,prose_same_block,150,100,NOT_LOW,100,28,72,0,28,0.28,0.28,experiments/json-input-low/results/2026-08-02T18-32-02-384Z-publication-clean-control-gemini-36-flash-s100-json-input-low
