model,response_models,context_id,amount,total,low,not_low,invalid,low_pct,not_low_pct,errors
gpt-4.1,gpt-4.1-2025-04-14,fact_only,0,10,10,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,10,10,10,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,25,10,10,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,50,10,10,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,75,10,10,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,100,10,10,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,150,10,10,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,200,10,10,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,201.56,10,0,10,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,203.13,10,0,10,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,206.25,10,0,10,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,212.5,10,0,10,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,225,10,0,10,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,250,10,0,10,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,300,10,0,10,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,500,10,0,10,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,750,10,0,10,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,1000,10,0,10,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,1500,10,0,10,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,2500,10,0,10,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,5000,10,0,10,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,10000,10,0,10,0,0.0%,100.0%,0
