model,response_models,mode,candidate_value,average_score,passing_count,total,enough,not_enough,invalid,output_truncated,enough_pct,not_enough_pct,errors
gemini-3.5-flash-lite,gemini-3.5-flash-lite,evidence_count,0,1,0,10,0,10,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,evidence_count,5,5.5,5,10,4,6,0,0,40.0%,60.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,evidence_count,6,6.4,6,10,9,1,0,0,90.0%,10.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,evidence_count,7,7.3,7,10,9,1,0,0,90.0%,10.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,evidence_count,10,10,10,10,10,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,quality,1,1,0,10,0,10,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,quality,5.5,3.7,0,10,1,9,0,0,10.0%,90.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,quality,7.75,5.05,6,10,4,6,0,0,40.0%,60.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,quality,8.875,5.728,6,10,5,5,0,0,50.0%,50.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,quality,9.86,6.316,6,10,6,4,0,0,60.0%,40.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,quality,9.438,6.064,6,10,4,6,0,0,40.0%,60.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,quality,9.719,6.232,6,10,4,6,0,0,40.0%,60.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,quality,10,6.4,6,10,8,2,0,0,80.0%,20.0%,0
gemini-3.6-flash,gemini-3.6-flash,evidence_count,0,1,0,10,0,10,0,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,evidence_count,5,5.5,5,10,3,5,2,2,30.0%,50.0%,0
gemini-3.6-flash,gemini-3.6-flash,evidence_count,6,6.4,6,10,7,3,0,1,70.0%,30.0%,0
gemini-3.6-flash,gemini-3.6-flash,evidence_count,7,7.3,7,10,10,0,0,0,100.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,evidence_count,10,10,10,10,9,0,1,1,90.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,quality,1,1,0,10,0,10,0,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,quality,5.5,3.7,0,10,0,10,0,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,quality,7.75,5.05,6,10,5,5,0,0,50.0%,50.0%,0
gemini-3.6-flash,gemini-3.6-flash,quality,7.891,5.134,6,10,3,7,0,0,30.0%,70.0%,0
gemini-3.6-flash,gemini-3.6-flash,quality,8.032,5.218,6,10,8,1,1,1,80.0%,10.0%,0
gemini-3.6-flash,gemini-3.6-flash,quality,8.313,5.386,6,10,8,2,0,0,80.0%,20.0%,0
gemini-3.6-flash,gemini-3.6-flash,quality,8.875,5.728,6,10,9,1,0,0,90.0%,10.0%,0
gemini-3.6-flash,gemini-3.6-flash,quality,10,6.4,6,10,9,1,0,0,90.0%,10.0%,0
